propertyclr_sum,violentclr_sum,grandtotclr_sum,year,month,county
18,14,0,2010,january,san bernardino county
8,2,0,2010,january,los angeles county
23,9,0,2010,january,alameda county
2,1,0,2010,january,alameda county
24,30,0,2010,january,alameda county
0,0,0,2010,january,alameda county
0,0,0,2010,january,alameda county
2,1,0,2010,january,alameda county
20,11,0,2010,january,los angeles county
12,3,0,2010,january,orange county
0,0,0,2010,january,santa barbara county
0,0,0,2010,january,alpine county
3,0,0,2010,january,modoc county
11,2,0,2010,january,amador county
6,2,0,2010,january,napa county
63,40,1,2010,january,orange county
11,2,0,2010,january,shasta county
0,0,0,2010,january,ventura county
3,0,0,2010,january,calaveras county
37,35,0,2010,january,contra costa county
28,14,0,2010,january,san bernardino county
32,3,0,2010,january,los angeles county
10,2,0,2010,january,humboldt county
2,0,0,2010,january,san luis obispo county
0,1,0,2010,january,los angeles county
16,10,0,2010,january,kern county
9,2,0,2010,january,san luis obispo county
0,4,0,2010,january,san luis obispo county
1,1,0,2010,january,san mateo county
23,3,0,2010,january,merced county
10,1,0,2010,january,placer county
1,1,0,2010,january,los angeles county
3,3,0,2010,january,kings county
6,6,0,2010,january,los angeles county
201,72,1,2010,january,kern county
31,12,0,2010,january,los angeles county
7,10,0,2010,january,riverside county
19,7,1,2010,january,san bernardino county
0,0,0,2010,january,san mateo county
0,0,0,2010,january,kern county
17,4,0,2010,january,riverside county
12,3,0,2010,january,los angeles county
9,6,0,2010,january,los angeles county
17,25,0,2010,january,los angeles county
2,0,0,2010,january,san mateo county
9,2,0,2010,january,solano county
26,15,0,2010,january,alameda county
6,2,0,2010,january,los angeles county
12,4,0,2010,january,san bernardino county
1,0,0,2010,january,butte county
8,6,0,2010,january,inyo county
10,1,0,2010,january,riverside county
0,0,0,2010,january,los angeles county
19,3,0,2010,january,imperial county
31,4,0,2010,january,orange county
3,7,0,2010,january,contra costa county
1,0,0,2010,january,san mateo county
1,0,0,2010,january,san mateo county
0,0,0,2010,january,santa barbara county
19,9,0,2010,january,orange county
43,7,1,2010,january,los angeles county
4,5,0,2010,january,san mateo county
2,11,2,2010,january,butte county
0,1,0,2010,january,alameda county
0,0,0,2010,january,alpine county
0,0,0,2010,january,amador county
0,0,0,2010,january,butte county
0,0,0,2010,january,calaveras county
0,0,0,2010,january,colusa county
0,0,0,2010,january,contra costa county
0,0,0,2010,january,del norte county
0,0,0,2010,january,el dorado county
2,0,0,2010,january,fresno county
0,0,0,2010,january,glenn county
0,0,0,2010,january,humboldt county
0,0,0,2010,january,imperial county
0,0,0,2010,january,inyo county
2,0,0,2010,january,kern county
0,0,0,2010,january,kings county
0,0,0,2010,january,lake county
0,0,0,2010,january,lassen county
6,0,0,2010,january,los angeles county
0,0,0,2010,january,madera county
0,0,0,2010,january,mariposa county
0,0,0,2010,january,mendocino county
0,0,0,2010,january,merced county
0,0,0,2010,january,modoc county
0,0,0,2010,january,mono county
0,0,0,2010,january,monterey county
0,0,0,2010,january,napa county
0,0,0,2010,january,nevada county
0,0,0,2010,january,orange county
0,0,0,2010,january,placer county
0,0,0,2010,january,plumas county
0,0,0,2010,january,riverside county
4,0,0,2010,january,sacramento county
0,0,0,2010,january,san benito county
0,0,0,2010,january,san bernardino county
0,0,0,2010,january,san diego county
0,0,0,2010,january,san francisco county
0,0,0,2010,january,san joaquin county
0,0,0,2010,january,san luis obispo county
0,0,0,2010,january,san mateo county
1,0,0,2010,january,santa barbara county
0,0,0,2010,january,santa clara county
0,0,0,2010,january,santa cruz county
0,1,0,2010,january,shasta county
0,0,0,2010,january,sierra county
0,0,0,2010,january,siskiyou county
0,0,0,2010,january,solano county
0,0,0,2010,january,sonoma county
0,0,0,2010,january,stanislaus county
0,0,0,2010,january,sutter county
0,0,0,2010,january,tehama county
0,0,0,2010,january,trinity county
0,0,0,2010,january,tulare county
0,0,0,2010,january,tuolumne county
0,0,0,2010,january,ventura county
0,0,0,2010,january,yolo county
0,1,0,2010,january,yuba county
0,0,0,2010,january,sacramento county
3,0,0,2010,january,los angeles county
0,0,0,2010,january,san luis obispo county
12,5,0,2010,january,los angeles county
1,3,0,2010,january,calaveras county
0,0,0,2010,january,calaveras county
9,1,0,2010,january,imperial county
1,1,0,2010,january,kern county
1,0,0,2010,january,riverside county
0,2,0,2010,january,imperial county
0,0,0,2010,january,napa county
13,0,0,2010,january,ventura county
25,3,1,2010,january,santa clara county
1,0,0,2010,january,riverside county
0,0,0,2010,january,sacramento county
20,4,0,2010,january,santa cruz county
29,7,0,2010,january,san diego county
1,0,0,2010,january,monterey county
1,0,0,2010,january,santa barbara county
60,28,0,2010,january,los angeles county
10,4,0,2010,january,riverside county
41,8,0,2010,january,stanislaus county
32,6,0,2010,january,los angeles county
0,0,0,2010,january,ventura county
25,8,0,2010,january,butte county
23,8,0,2010,january,san bernardino county
7,3,1,2010,january,san bernardino county
3,1,0,2010,january,madera county
74,24,0,2010,january,san diego county
56,26,0,2010,january,sacramento county
7,3,0,2010,january,los angeles county
1,0,0,2010,january,contra costa county
11,0,0,2010,january,lake county
7,0,0,2010,january,sonoma county
63,5,1,2010,january,fresno county
6,9,0,2010,january,riverside county
5,3,0,2010,january,fresno county
0,0,0,2010,january,fresno county
0,0,0,2010,january,tulare county
4,0,0,2010,january,san mateo county
0,0,0,2010,january,san diego county
1,0,0,2010,january,san bernardino county
1,1,0,2010,january,colusa county
5,3,0,2010,january,colusa county
10,5,0,2010,january,los angeles county
17,28,0,2010,january,los angeles county
58,10,0,2010,january,contra costa county
1,0,0,2010,january,contra costa county
6,6,2,2010,january,contra costa county
0,0,0,2010,january,contra costa county
1,0,0,2010,january,contra costa county
1,8,0,2010,january,kings county
2,0,0,2010,january,tehama county
37,5,0,2010,january,riverside county
8,2,0,2010,january,san diego county
92,11,1,2010,january,orange county
2,3,0,2010,january,sonoma county
27,7,0,2010,january,los angeles county
2,1,0,2010,january,del norte county
0,0,0,2010,january,kern county
1,0,0,2010,january,ventura county
3,0,0,2010,january,butte county
0,0,0,2010,january,los angeles county
0,0,0,2010,january,alameda county
2,0,0,2010,january,fresno county
2,0,0,2010,january,orange county
2,0,0,2010,january,humboldt county
1,0,0,2010,january,los angeles county
6,0,0,2010,january,los angeles county
0,0,0,2010,january,monterey county
4,1,0,2010,january,los angeles county
2,0,0,2010,january,sacramento county
1,0,0,2010,january,san bernardino county
4,3,0,2010,january,san diego county
6,0,0,2010,january,san francisco county
10,0,0,2010,january,santa clara county
0,0,0,2010,january,san diego county
0,0,0,2010,january,sonoma county
0,0,0,2010,january,stanislaus county
14,5,0,2010,january,los angeles county
0,0,0,2010,january,san luis obispo county
47,6,0,2010,january,los angeles county
24,3,1,2010,january,santa clara county
13,7,0,2010,january,orange county
24,4,0,2010,january,san mateo county
15,2,0,2010,january,orange county
4,0,0,2010,january,contra costa county
4,2,0,2010,january,yolo county
0,1,0,2010,january,san diego county
13,2,0,2010,january,del norte county
0,0,0,2010,january,monterey county
20,21,0,2010,january,kern county
24,9,0,2010,january,riverside county
8,1,0,2010,january,los angeles county
18,6,0,2010,january,tulare county
1,6,0,2010,january,solano county
0,0,0,2010,january,siskiyou county
1,0,0,2010,january,merced county
59,11,0,2010,january,los angeles county
5,2,0,2010,january,los angeles county
13,4,0,2010,january,alameda county
4,1,0,2010,january,siskiyou county
75,22,0,2010,january,san mateo county
45,11,0,2010,january,san diego county
2,0,0,2010,january,los angeles county
43,3,0,2010,january,imperial county
8,3,0,2010,january,contra costa county
43,19,0,2010,january,el dorado county
15,21,0,2010,january,los angeles county
11,2,0,2010,january,los angeles county
47,18,0,2010,january,sacramento county
20,6,0,2010,january,alameda county
5,2,0,2010,january,san diego county
1,0,0,2010,january,san joaquin county
48,24,0,2010,january,san diego county
0,0,0,2010,january,siskiyou county
3,2,0,2010,january,humboldt county
1,2,0,2010,january,tulare county
40,22,0,2010,january,solano county
0,0,0,2010,january,orange county
3,4,0,2010,january,tulare county
0,0,0,2010,january,humboldt county
4,2,0,2010,january,ventura county
1,0,0,2010,january,fresno county
16,0,0,2010,january,sacramento county
82,27,0,2010,january,san bernardino county
2,2,0,2010,january,san bernardino county
0,0,0,2010,january,santa clara county
2,2,0,2010,january,mendocino county
0,0,0,2010,january,siskiyou county
10,1,0,2010,january,humboldt county
4,1,0,2010,january,san mateo county
25,6,0,2010,january,orange county
0,0,0,2010,january,merced county
0,1,0,2010,january,fresno county
22,27,0,2010,january,alameda county
244,94,0,2010,january,fresno county
35,24,0,2010,january,fresno county
48,16,0,2010,january,orange county
13,3,0,2010,january,sacramento county
50,20,0,2010,january,orange county
12,10,0,2010,january,los angeles county
25,7,0,2010,january,santa clara county
70,8,0,2010,january,los angeles county
27,1,0,2010,january,los angeles county
1,0,0,2010,january,glenn county
1,0,0,2010,january,sacramento county
7,0,0,2010,january,santa barbara county
2,0,0,2010,january,monterey county
3,1,0,2010,january,san bernardino county
9,5,0,2010,january,nevada county
3,2,0,2010,january,monterey county
1,1,0,2010,january,butte county
3,1,0,2010,january,san luis obispo county
2,1,0,2010,january,santa barbara county
1,0,0,2010,january,merced county
4,0,0,2010,january,san mateo county
16,6,0,2010,january,kings county
4,3,0,2010,january,los angeles county
27,22,0,2010,january,los angeles county
63,17,0,2010,january,alameda county
2,0,0,2010,january,sonoma county
36,19,0,2010,january,riverside county
0,1,0,2010,january,contra costa county
2,0,0,2010,january,los angeles county
27,16,0,2010,january,san bernardino county
0,2,0,2010,january,los angeles county
8,12,0,2010,january,san bernardino county
0,0,0,2010,january,san mateo county
14,13,0,2010,january,san benito county
0,0,0,2010,january,san benito county
0,0,0,2010,january,stanislaus county
4,12,0,2010,january,humboldt county
0,0,0,2010,january,ventura county
46,21,0,2010,january,orange county
40,18,0,2010,january,los angeles county
0,1,0,2010,january,fresno county
0,0,0,2010,january,imperial county
4,7,0,2010,january,san diego county
2,7,0,2010,january,imperial county
1,0,0,2010,january,riverside county
21,7,0,2010,january,riverside county
68,8,0,2010,january,los angeles county
26,17,0,2010,january,los angeles county
0,0,0,2010,january,riverside county
2,1,0,2010,january,inyo county
1,0,0,2010,january,amador county
52,9,0,2010,january,orange county
0,1,0,2010,january,los angeles county
1,0,1,2010,january,sacramento county
1,1,0,2010,january,amador county
0,0,0,2010,january,contra costa county
96,3,0,2010,january,fresno county
146,61,1,2010,january,kern county
2,1,0,2010,january,monterey county
2,15,0,2010,january,kings county
5,0,0,2010,january,fresno county
3,2,0,2010,january,los angeles county
19,7,0,2010,january,orange county
0,0,0,2010,january,los angeles county
38,19,0,2010,january,san diego county
0,2,0,2010,january,los angeles county
5,2,0,2010,january,orange county
6,3,0,2010,january,los angeles county
19,4,0,2010,january,riverside county
6,2,0,2010,january,los angeles county
2,0,0,2010,january,contra costa county
10,6,0,2010,january,orange county
24,2,0,2010,january,orange county
7,2,0,2010,january,orange county
2,1,0,2010,january,orange county
19,12,0,2010,january,lake county
24,6,0,2010,january,riverside county
10,9,0,2010,january,orange county
0,0,0,2010,january,siskiyou county
2,0,0,2010,january,lake county
46,18,0,2010,january,los angeles county
82,51,1,2010,january,los angeles county
0,0,0,2010,january,los angeles county
3,4,1,2010,january,lassen county
5,2,0,2010,january,los angeles county
7,6,0,2010,january,san diego county
4,1,0,2010,january,kings county
3,0,0,2010,january,placer county
5,4,0,2010,january,tulare county
18,17,1,2010,january,alameda county
5,2,0,2010,january,merced county
19,3,0,2010,january,san joaquin county
1,0,0,2010,january,san bernardino county
2,4,0,2010,january,los angeles county
14,19,0,2010,january,santa barbara county
157,106,1,2010,january,los angeles county
0,1,0,2010,january,orange county
1,0,0,2010,january,santa clara county
0,0,0,2010,january,santa clara county
503,394,15,2010,january,los angeles county
229,257,1,2010,january,los angeles county
10,23,0,2010,january,los angeles county
31,7,0,2010,january,merced county
6,0,0,2010,january,santa clara county
20,26,0,2010,january,los angeles county
115,19,0,2010,january,madera county
8,5,0,2010,january,madera county
5,4,0,2010,january,los angeles county
2,2,1,2010,january,mono county
10,2,0,2010,january,los angeles county
37,9,0,2010,january,san joaquin county
8,1,0,2010,january,monterey county
7,3,0,2010,january,mariposa county
3,2,0,2010,january,contra costa county
0,3,0,2010,january,yuba county
4,4,0,2010,january,los angeles county
0,0,0,2010,january,kern county
6,21,0,2010,january,mendocino county
0,0,0,2010,january,mendocino county
3,2,0,2010,january,fresno county
16,1,0,2010,january,riverside county
3,2,0,2010,january,san mateo county
50,29,0,2010,january,merced county
23,30,0,2010,january,merced county
0,0,0,2010,january,los angeles county
5,2,0,2010,january,san mateo county
42,5,0,2010,january,santa clara county
23,6,0,2010,january,orange county
149,72,1,2010,january,stanislaus county
2,1,0,2010,january,modoc county
1,0,0,2010,january,mono county
26,15,0,2010,january,los angeles county
3,0,0,2010,january,siskiyou county
44,6,0,2010,january,san bernardino county
0,0,0,2010,january,santa clara county
26,9,0,2010,january,los angeles county
8,8,0,2010,january,monterey county
0,0,0,2010,january,monterey county
17,6,0,2010,january,monterey county
0,0,0,2010,january,monterey county
10,4,0,2010,january,los angeles county
6,3,1,2010,january,ventura county
2,0,0,2010,january,contra costa county
71,24,1,2010,january,riverside county
7,6,0,2010,january,santa clara county
2,0,0,2010,january,san luis obispo county
1,1,0,2010,january,siskiyou county
26,13,1,2010,january,santa clara county
28,7,0,2010,january,riverside county
35,8,0,2010,january,napa county
5,2,0,2010,january,napa county
0,0,0,2010,january,napa county
57,18,0,2010,january,san diego county
5,1,0,2010,january,san bernardino county
0,1,0,2010,january,nevada county
2,7,0,2010,january,nevada county
29,4,0,2010,january,alameda county
5,2,0,2010,january,stanislaus county
32,4,1,2010,january,orange county
4,0,0,2010,january,riverside county
0,0,0,2010,january,butte county
0,0,0,2010,january,humboldt county
27,14,0,2010,january,los angeles county
10,1,0,2010,january,stanislaus county
42,136,0,2010,january,alameda county
3,1,0,2010,january,contra costa county
0,0,0,2010,january,san luis obispo county
42,23,1,2010,january,san diego county
0,0,0,2010,january,san diego county
1,0,0,2010,january,ventura county
71,29,0,2010,january,san bernardino county
44,7,0,2010,january,orange county
14,11,0,2010,january,orange county
0,0,0,2010,january,orange county
0,0,0,2010,january,contra costa county
2,2,0,2010,january,glenn county
13,19,0,2010,january,butte county
47,14,0,2010,january,ventura county
2,2,0,2010,january,monterey county
8,5,1,2010,january,san mateo county
25,0,0,2010,january,riverside county
10,11,0,2010,january,riverside county
105,37,0,2010,january,los angeles county
31,2,0,2010,january,santa clara county
0,0,0,2010,january,los angeles county
7,7,0,2010,january,butte county
26,15,0,2010,january,los angeles county
5,3,0,2010,january,fresno county
40,11,0,2010,january,los angeles county
1,0,0,2010,january,los angeles county
12,1,0,2010,january,san luis obispo county
10,4,0,2010,january,stanislaus county
0,0,0,2010,january,san bernardino county
16,2,0,2010,january,riverside county
24,13,1,2010,january,sonoma county
13,6,0,2010,january,los angeles county
1,0,0,2010,january,alameda county
9,7,0,2010,january,contra costa county
2,1,0,2010,january,san luis obispo county
11,6,0,2010,january,contra costa county
3,4,0,2010,january,orange county
26,15,0,2010,january,placer county
6,3,0,2010,january,el dorado county
18,4,0,2010,january,contra costa county
37,1,0,2010,january,alameda county
4,8,0,2010,january,plumas county
31,14,0,2010,january,los angeles county
1,1,0,2010,january,ventura county
18,5,0,2010,january,tulare county
0,0,0,2010,january,kings county
5,4,0,2010,january,san diego county
10,13,0,2010,january,sacramento county
109,22,0,2010,january,san bernardino county
3,2,0,2010,january,riverside county
2,1,0,2010,january,los angeles county
1,3,0,2010,january,orange county
11,7,0,2010,january,tehama county
61,28,0,2010,january,shasta county
44,17,1,2010,january,san bernardino county
30,14,0,2010,january,los angeles county
30,11,0,2010,january,san mateo county
4,4,0,2010,january,fresno county
14,28,0,2010,january,san bernardino county
9,14,0,2010,january,contra costa county
11,4,0,2010,january,kern county
0,1,0,2010,january,humboldt county
0,2,0,2010,january,solano county
5,3,0,2010,january,san joaquin county
0,0,0,2010,january,stanislaus county
135,40,0,2010,january,riverside county
52,40,0,2010,january,riverside county
1,0,0,2010,january,riverside county
8,3,0,2010,january,placer county
25,8,0,2010,january,sonoma county
0,0,0,2010,january,los angeles county
5,2,0,2010,january,los angeles county
6,10,1,2010,january,los angeles county
54,19,0,2010,january,placer county
258,112,4,2010,january,sacramento county
92,51,1,2010,january,sacramento county
87,38,0,2010,january,monterey county
1,1,0,2010,january,san benito county
83,41,1,2010,january,san bernardino county
76,65,1,2010,january,san bernardino county
0,0,0,2010,january,san bernardino county
3,3,0,2010,january,san bernardino county
24,2,1,2010,january,san mateo county
7,0,0,2010,january,san mateo county
22,5,0,2010,january,orange county
268,226,3,2010,january,san diego county
40,72,3,2010,january,san diego county
0,0,0,2010,january,san diego county
3,1,0,2010,january,san diego county
11,3,0,2010,january,los angeles county
6,3,0,2010,january,los angeles county
283,137,5,2010,january,san francisco county
0,1,0,2010,january,san francisco county
6,4,0,2010,january,los angeles county
16,4,0,2010,january,riverside county
37,22,0,2010,january,san joaquin county
0,0,0,2010,january,fresno county
291,98,0,2010,january,santa clara county
0,0,0,2010,january,santa clara county
2,1,0,2010,january,orange county
53,14,0,2010,january,alameda county
29,2,0,2010,january,san luis obispo county
18,19,0,2010,january,san luis obispo county
0,0,0,2010,january,san luis obispo county
23,16,0,2010,january,san diego county
2,0,0,2010,january,los angeles county
31,4,0,2010,january,san mateo county
0,0,0,2010,january,san mateo county
6,5,0,2010,january,san mateo county
3,5,0,2010,january,contra costa county
2,1,0,2010,january,contra costa county
7,0,0,2010,january,monterey county
5,2,0,2010,january,fresno county
98,50,0,2010,january,orange county
54,14,1,2010,january,santa barbara county
13,23,0,2010,january,santa barbara county
38,2,0,2010,january,santa clara county
17,19,0,2010,january,santa clara county
0,1,0,2010,january,santa clara county
36,17,0,2010,january,los angeles county
40,15,0,2010,january,santa cruz county
14,10,1,2010,january,santa cruz county
0,0,0,2010,january,santa cruz county
13,3,0,2010,january,los angeles county
49,41,0,2010,january,santa barbara county
17,50,0,2010,january,los angeles county
6,4,0,2010,january,ventura county
94,40,0,2010,january,sonoma county
6,3,0,2010,january,san diego county
2,2,1,2010,january,santa clara county
5,2,0,2010,january,santa cruz county
14,0,0,2010,january,orange county
2,7,0,2010,january,monterey county
5,0,0,2010,january,sonoma county
7,5,0,2010,january,fresno county
3,1,0,2010,january,kern county
23,32,1,2010,january,shasta county
0,0,0,2010,january,shasta county
1,0,0,2010,january,sierra county
0,0,0,2010,january,placer county
0,0,0,2010,january,los angeles county
6,1,0,2010,january,los angeles county
0,0,0,2010,january,sonoma county
28,7,0,2010,january,ventura county
4,3,0,2010,january,siskiyou county
1,0,0,2010,january,san diego county
2,7,0,2010,january,solano county
0,0,0,2010,january,solano county
7,3,0,2010,january,monterey county
1,0,0,2010,january,santa barbara county
4,0,0,2010,january,sonoma county
0,0,0,2010,january,sonoma county
13,50,0,2010,january,sonoma county
0,0,0,2010,january,sonoma county
0,0,0,2010,january,sonoma county
10,4,0,2010,january,tuolumne county
1,4,0,2010,january,los angeles county
8,9,0,2010,january,los angeles county
8,6,0,2010,january,el dorado county
4,3,0,2010,january,los angeles county
45,9,1,2010,january,san mateo county
1,0,0,2010,january,napa county
0,0,0,2010,january,kern county
20,14,1,2010,january,stanislaus county
10,4,0,2010,january,orange county
1,0,0,2010,january,fresno county
207,114,1,2010,january,san joaquin county
3,5,1,2010,january,san joaquin county
1,1,0,2010,january,solano county
30,8,1,2010,january,santa clara county
31,10,0,2010,january,lassen county
1,7,0,2010,january,sutter county
4,0,1,2010,january,amador county
6,0,0,2010,january,kern county
1,1,0,2010,january,kern county
0,0,0,2010,january,san bernardino county
0,12,0,2010,january,tehama county
40,1,0,2010,january,riverside county
5,2,0,2010,january,los angeles county
22,4,0,2010,january,ventura county
73,25,0,2010,january,los angeles county
21,4,0,2010,january,san joaquin county
0,0,0,2010,january,humboldt county
4,0,0,2010,january,trinity county
3,0,0,2010,january,nevada county
25,13,0,2010,january,tulare county
5,10,0,2010,january,tulare county
0,0,0,2010,january,siskiyou county
9,4,1,2010,january,tuolumne county
0,0,0,2010,january,stanislaus county
22,7,0,2010,january,orange county
6,9,0,2010,january,san bernardino county
0,0,0,2010,january,sacramento county
0,3,0,2010,january,sacramento county
5,0,0,2010,january,alameda county
0,0,0,2010,january,yolo county
0,0,0,2010,january,san francisco county
5,0,0,2010,january,orange county
5,0,0,2010,january,los angeles county
0,2,0,2010,january,sacramento county
0,0,0,2010,january,merced county
0,1,0,2010,january,riverside county
5,0,0,2010,january,san diego county
2,0,0,2010,january,san francisco county
2,0,0,2010,january,santa barbara county
1,0,0,2010,january,santa cruz county
21,6,0,2010,january,mendocino county
7,8,0,2010,january,alameda county
0,0,0,2010,january,alameda county
0,0,0,2010,january,amador county
0,0,0,2010,january,butte county
0,0,0,2010,january,calaveras county
0,0,0,2010,january,colusa county
0,0,0,2010,january,contra costa county
0,0,0,2010,january,el dorado county
0,0,0,2010,january,fresno county
0,0,0,2010,january,glenn county
0,0,0,2010,january,humboldt county
0,0,0,2010,january,imperial county
0,0,0,2010,january,inyo county
0,0,0,2010,january,kern county
0,0,0,2010,january,kings county
0,0,0,2010,january,lassen county
0,0,0,2010,january,los angeles county
0,0,0,2010,january,madera county
0,0,0,2010,january,mendocino county
0,0,0,2010,january,merced county
0,0,0,2010,january,modoc county
0,0,0,2010,january,monterey county
0,0,0,2010,january,napa county
0,0,0,2010,january,nevada county
0,0,0,2010,january,orange county
0,0,0,2010,january,placer county
0,0,0,2010,january,plumas county
2,0,0,2010,january,riverside county
0,0,0,2010,january,sacramento county
0,0,0,2010,january,san benito county
0,0,0,2010,january,san bernardino county
0,0,0,2010,january,san francisco county
0,0,0,2010,january,san joaquin county
0,0,0,2010,january,san luis obispo county
0,0,0,2010,january,san mateo county
0,0,0,2010,january,santa barbara county
0,0,0,2010,january,santa clara county
0,0,0,2010,january,santa cruz county
0,0,0,2010,january,shasta county
0,0,0,2010,january,sierra county
0,0,0,2010,january,siskiyou county
0,0,0,2010,january,solano county
0,0,0,2010,january,sonoma county
0,0,0,2010,january,stanislaus county
0,0,0,2010,january,sutter county
0,0,0,2010,january,tehama county
0,0,0,2010,january,trinity county
0,0,0,2010,january,tulare county
0,0,0,2010,january,ventura county
0,0,0,2010,january,yolo county
0,0,0,2010,january,yuba county
42,11,0,2010,january,san bernardino county
42,20,0,2010,january,solano county
45,17,1,2010,january,solano county
77,9,1,2010,january,ventura county
10,6,0,2010,january,ventura county
0,0,0,2010,january,ventura county
2,0,0,2010,january,los angeles county
82,50,0,2010,january,san bernardino county
1,1,0,2010,january,orange county
87,34,0,2010,january,tulare county
17,8,1,2010,january,san diego county
7,1,0,2010,january,los angeles county
13,0,0,2010,january,contra costa county
2,2,0,2010,january,stanislaus county
28,18,0,2010,january,santa cruz county
2,1,0,2010,january,siskiyou county
27,15,0,2010,january,los angeles county
20,19,0,2010,january,los angeles county
36,13,0,2010,january,yolo county
0,0,0,2010,january,santa clara county
4,0,0,2010,january,los angeles county
43,8,0,2010,january,orange county
0,0,0,2010,january,imperial county
0,0,0,2010,january,yuba county
28,20,0,2010,january,los angeles county
5,1,0,2010,january,riverside county
2,0,1,2010,january,colusa county
2,4,0,2010,january,mendocino county
0,0,0,2010,january,glenn county
17,3,0,2010,january,sonoma county
0,0,0,2010,january,yolo county
3,2,0,2010,january,tulare county
30,11,0,2010,january,yolo county
0,3,0,2010,january,yolo county
8,11,0,2010,january,orange county
0,0,0,2010,january,napa county
9,2,0,2010,january,siskiyou county
31,7,0,2010,january,sutter county
11,6,0,2010,january,yuba county
11,7,0,2010,january,san bernardino county
7,2,0,2010,january,san bernardino county
11,14,0,2010,february,san bernardino county
7,1,0,2010,february,los angeles county
29,14,0,2010,february,alameda county
2,3,0,2010,february,alameda county
22,31,0,2010,february,alameda county
0,0,0,2010,february,alameda county
1,0,0,2010,february,alameda county
0,0,0,2010,february,alameda county
16,7,0,2010,february,los angeles county
2,2,0,2010,february,orange county
0,0,0,2010,february,santa barbara county
0,1,0,2010,february,alpine county
1,0,0,2010,february,modoc county
11,3,0,2010,february,amador county
9,2,0,2010,february,napa county
86,30,1,2010,february,orange county
7,1,0,2010,february,shasta county
0,0,0,2010,february,ventura county
4,0,0,2010,february,calaveras county
56,29,0,2010,february,contra costa county
32,12,0,2010,february,san bernardino county
28,3,0,2010,february,los angeles county
3,1,0,2010,february,humboldt county
2,0,0,2010,february,san luis obispo county
1,1,0,2010,february,los angeles county
3,4,0,2010,february,kern county
12,4,0,2010,february,san luis obispo county
1,2,0,2010,february,san luis obispo county
1,2,0,2010,february,san mateo county
25,6,2,2010,february,merced county
0,1,0,2010,february,placer county
1,2,0,2010,february,los angeles county
1,5,0,2010,february,kings county
12,3,0,2010,february,los angeles county
201,46,0,2010,february,kern county
21,5,0,2010,february,los angeles county
8,1,0,2010,february,riverside county
14,19,1,2010,february,san bernardino county
21,4,0,2010,february,san mateo county
1,0,0,2010,february,kern county
13,4,0,2010,february,riverside county
19,11,0,2010,february,los angeles county
5,10,0,2010,february,los angeles county
21,19,0,2010,february,los angeles county
0,0,0,2010,february,san mateo county
3,1,0,2010,february,solano county
27,12,0,2010,february,alameda county
24,1,0,2010,february,los angeles county
13,1,0,2010,february,san bernardino county
1,0,0,2010,february,butte county
5,4,0,2010,february,inyo county
8,2,1,2010,february,riverside county
0,0,0,2010,february,los angeles county
9,0,0,2010,february,imperial county
32,3,0,2010,february,orange county
33,1,0,2010,february,contra costa county
1,0,0,2010,february,san mateo county
1,0,0,2010,february,san mateo county
0,0,0,2010,february,santa barbara county
43,8,0,2010,february,orange county
46,9,1,2010,february,los angeles county
4,1,0,2010,february,san mateo county
0,0,0,2010,february,butte county
0,0,0,2010,february,alameda county
0,0,0,2010,february,alpine county
0,0,0,2010,february,amador county
0,0,0,2010,february,butte county
0,0,0,2010,february,calaveras county
0,0,0,2010,february,colusa county
0,0,0,2010,february,contra costa county
0,0,0,2010,february,del norte county
0,0,0,2010,february,el dorado county
0,0,0,2010,february,fresno county
0,0,0,2010,february,glenn county
0,0,0,2010,february,humboldt county
0,0,0,2010,february,imperial county
0,0,0,2010,february,inyo county
3,0,0,2010,february,kern county
0,0,0,2010,february,kings county
0,0,0,2010,february,lake county
0,0,0,2010,february,lassen county
1,1,0,2010,february,los angeles county
0,0,0,2010,february,madera county
0,0,0,2010,february,mariposa county
0,0,0,2010,february,mendocino county
0,0,0,2010,february,merced county
0,0,0,2010,february,modoc county
0,0,0,2010,february,mono county
0,0,0,2010,february,monterey county
0,0,0,2010,february,napa county
0,0,0,2010,february,nevada county
0,0,0,2010,february,orange county
2,0,0,2010,february,placer county
0,0,0,2010,february,plumas county
0,1,0,2010,february,riverside county
7,0,0,2010,february,sacramento county
0,0,0,2010,february,san benito county
4,1,0,2010,february,san bernardino county
0,0,0,2010,february,san diego county
0,0,0,2010,february,san francisco county
0,1,0,2010,february,san joaquin county
0,1,0,2010,february,san luis obispo county
0,0,0,2010,february,san mateo county
0,0,0,2010,february,santa barbara county
0,0,0,2010,february,santa clara county
0,0,0,2010,february,santa cruz county
0,0,0,2010,february,shasta county
0,0,0,2010,february,sierra county
1,0,0,2010,february,siskiyou county
0,0,0,2010,february,solano county
0,0,0,2010,february,sonoma county
0,0,0,2010,february,stanislaus county
0,0,0,2010,february,sutter county
0,0,0,2010,february,tehama county
0,0,0,2010,february,trinity county
0,0,0,2010,february,tulare county
0,0,0,2010,february,tuolumne county
0,0,0,2010,february,ventura county
0,0,0,2010,february,yolo county
0,0,0,2010,february,yuba county
1,1,0,2010,february,sacramento county
0,0,0,2010,february,los angeles county
0,0,0,2010,february,san luis obispo county
4,0,0,2010,february,los angeles county
7,0,0,2010,february,calaveras county
0,0,0,2010,february,calaveras county
15,2,0,2010,february,imperial county
4,1,0,2010,february,kern county
